#x [mm];y [mm];z [mm];HxRe [A/m];HxIm [A/m];HyRe [A/m];HyIm [A/m];HzRe [A/m];HzIm [A/m]
-1.1;-1.1;0;-5.5542469;-5.1483741;-14.317509;-13.238988;8.662323;8.0595398
-1.09;-1.1;0;-5.4630346;-5.0632305;-14.403112;-13.31887;8.7287712;8.1216259
-1.08;-1.1;0;-5.3718233;-4.9780874;-14.488716;-13.398752;8.7952194;8.183712
-1.07;-1.1;0;-5.280611;-4.8929443;-14.57432;-13.478633;8.8616676;8.2457981
-1.06;-1.1;0;-5.1893983;-4.8077998;-14.659925;-13.558517;8.9281178;8.3078852
-1.05;-1.1;0;-5.098186;-4.7226567;-14.745528;-13.638397;8.994565;8.3699713
-1.04;-1.1;0;-5.0069742;-4.6375132;-14.831131;-13.718279;9.0610132;8.4320574
-1.03;-1.1;0;-4.9157624;-4.5523696;-14.916736;-13.798162;9.1274624;8.4941435
-1.02;-1.1;0;-4.8245506;-4.4672265;-15.002339;-13.878043;9.1939096;8.5562296
-1.01;-1.1;0;-4.7333384;-4.3820834;-15.087942;-13.957924;9.2603579;8.6183157
-1;-1.1;0;-4.6421266;-4.2969398;-15.173547;-14.037807;9.326807;8.6804018
-0.99;-1.1;0;-4.5509148;-4.2117963;-15.25915;-14.117688;9.3932552;8.7424889
-0.98;-1.1;0;-4.4597025;-4.1266537;-15.344753;-14.197571;9.4597034;8.804574
-0.97;-1.1;0;-4.3684907;-4.0415101;-15.430358;-14.277452;9.5261517;8.8666601
-0.96;-1.1;0;-4.2772784;-3.9563665;-15.515962;-14.357334;9.5925999;8.9287472
-0.95;-1.1;0;-4.1860662;-3.8712232;-15.601566;-14.437216;9.6590481;8.9908333
-0.94;-1.1;0;-4.0948544;-3.7860796;-15.687169;-14.517097;9.7254972;9.0529194
-0.93;-1.1;0;-4.0036426;-3.7009363;-15.772773;-14.596979;9.7919455;9.1150055
-0.92;-1.1;0;-3.9124308;-3.6157935;-15.858377;-14.676862;9.8583927;9.1770916
-0.91;-1.1;0;-3.8212187;-3.5306499;-15.94398;-14.756743;9.9248419;9.2391777
-0.9;-1.1;0;-3.7300067;-3.4455061;-16.029583;-14.836626;9.991291;9.3012648
-0.89;-1.1;0;-3.6387947;-3.3603632;-16.115189;-14.916507;10.057739;9.3633509
-0.88;-1.1;0;-3.5475826;-3.2752197;-16.20079;-14.996388;10.124188;9.425437
-0.87;-1.1;0;-3.4563711;-3.1900764;-16.286396;-15.076271;10.190636;9.4875231
-0.86;-1.1;0;-3.365159;-3.1049328;-16.372;-15.156153;10.257084;9.5496092
-0.85;-1.1;0;-3.273947;-3.0197897;-16.457603;-15.236034;10.323533;9.6116962
-0.84;-1.1;0;-3.1827345;-2.9346457;-16.543207;-15.315918;10.389981;9.6737823
-0.83;-1.1;0;-3.0915227;-2.8495023;-16.628811;-15.3958;10.456429;9.7358685
-0.82;-1.1;0;-3.0003104;-2.7643592;-16.714415;-15.47568;10.522877;9.7979546
-0.81;-1.1;0;-2.9090986;-2.6792159;-16.800018;-15.555563;10.589326;9.8600407
-0.8;-1.1;0;-2.8178868;-2.5940726;-16.885624;-15.635445;10.655774;9.9221268
-0.79;-1.1;0;-2.7266748;-2.5089293;-16.971226;-15.715326;10.722222;9.9842129
-0.78;-1.1;0;-2.6354623;-2.4237852;-17.056831;-15.795208;10.788671;10.046299
-0.77;-1.1;0;-2.5442505;-2.3386421;-17.142433;-15.87509;10.85512;10.108385
-0.76;-1.1;0;-2.4530382;-2.2534986;-17.228039;-15.954972;10.921568;10.170471
-0.75;-1.1;0;-2.3618264;-2.1683555;-17.313643;-16.034855;10.988016;10.232558
-0.74;-1.1;0;-2.2706146;-2.0832119;-17.399246;-16.114735;11.054464;10.294643
-0.73;-1.1;0;-2.1794028;-1.9980688;-17.484848;-16.194618;11.120913;10.35673
-0.72;-1.1;0;-2.088191;-1.9129254;-17.570454;-16.2745;11.187361;10.418816
-0.71;-1.1;0;-1.9969784;-1.8277818;-17.656055;-16.354382;11.253809;10.480902
-0.7;-1.1;0;-1.9057664;-1.7426385;-17.741661;-16.434263;11.320257;10.542989
-0.69;-1.1;0;-1.8145546;-1.6574953;-17.827263;-16.514145;11.386705;10.605075
-0.68;-1.1;0;-1.7233425;-1.5723518;-17.912868;-16.594027;11.453154;10.667161
-0.67;-1.1;0;-1.6321307;-1.4872086;-17.99847;-16.673908;11.519602;10.729247
-0.66;-1.1;0;-1.5409188;-1.4020652;-18.084076;-16.75379;11.58605;10.791333
-0.65;-1.1;0;-1.4497063;-1.3169212;-18.169678;-16.833672;11.652499;10.85342
-0.64;-1.1;0;-1.3584943;-1.231778;-18.255283;-16.913555;11.718948;10.915506
-0.63;-1.1;0;-1.2672825;-1.1466347;-18.340885;-16.993435;11.785397;10.977592
-0.62;-1.1;0;-1.1760705;-1.0614915;-18.426491;-17.073318;11.851844;11.039679
-0.61;-1.1;0;-1.0848585;-0.97634804;-18.512094;-17.153198;11.918293;11.101765
-0.6;-1.1;0;-0.99364686;-0.89120483;-18.597698;-17.233082;11.984741;11.163851
-0.59;-1.1;0;-0.90243411;-0.80606091;-18.683302;-17.312963;12.051189;11.225937
-0.58;-1.1;0;-0.81122208;-0.7209177;-18.768906;-17.392845;12.117638;11.288023
-0.57;-1.1;0;-0.72001028;-0.63577437;-18.854509;-17.472727;12.184086;11.350109
-0.56;-1.1;0;-0.62879825;-0.55063105;-18.940113;-17.552608;12.250534;11.412195
-0.55;-1.1;0;-0.53758645;-0.46548772;-19.025717;-17.63249;12.316982;11.474281
-0.54;-1.1;0;-0.44637465;-0.38034439;-19.11132;-17.712372;12.38343;11.536367
-0.53;-1.1;0;-0.35516214;-0.29520059;-19.196926;-17.792255;12.449881;11.598454
-0.52;-1.1;0;-0.26395011;-0.21005726;-19.282528;-17.872137;12.516329;11.660541
-0.51;-1.1;0;-0.17273831;-0.12491393;-19.368132;-17.952019;12.582776;11.722627
-0.5;-1.1;0;-0.081526041;-0.039770603;-19.453735;-18.0319;12.649225;11.784714
-0.49;-1.1;0;0.0096857548;0.045372725;-19.539339;-18.111782;12.715673;11.846799
-0.48;-1.1;0;0.10089737;0.13051566;-19.624943;-18.191664;12.782122;11.908886
-0.47;-1.1;0;0.19210941;0.21565899;-19.710546;-18.271545;12.848571;11.970972
-0.46;-1.1;0;0.2833212;0.30080232;-19.79615;-18.351427;12.915019;12.033058
-0.45;-1.1;0;0.37453389;0.38594651;-19.881754;-18.431311;12.981466;12.095144
-0.44;-1.1;0;0.46574593;0.47108984;-19.967358;-18.51119;13.047915;12.15723
-0.43;-1.1;0;0.55695772;0.55623317;-20.052963;-18.591072;13.114364;12.219316
-0.42;-1.1;0;0.64816952;0.64137626;-20.138565;-18.670956;13.180811;12.281403
-0.41;-1.1;0;0.73938179;0.7265197;-20.224171;-18.750837;13.247259;12.343489
-0.4;-1.1;0;0.83059359;0.81166291;-20.309774;-18.830719;13.313708;12.405575
-0.39;-1.1;0;0.92180598;0.89680684;-20.395378;-18.910603;13.380157;12.467662
-0.38;-1.1;0;1.0130179;0.98195004;-20.480982;-18.990482;13.446606;12.529748
-0.37;-1.1;0;1.1042298;1.0670935;-20.566586;-19.070364;13.513054;12.591833
-0.36;-1.1;0;1.1954416;1.1522367;-20.652189;-19.150246;13.579501;12.65392
-0.35;-1.1;0;1.2866538;1.23738;-20.737793;-19.230129;13.64595;12.716006
-0.34;-1.1;0;1.3778657;1.3225235;-20.823395;-19.310011;13.712399;12.778092
-0.33;-1.1;0;1.4690775;1.4076667;-20.909;-19.389891;13.778847;12.840178
-0.32;-1.1;0;1.5602901;1.4928105;-20.994606;-19.469774;13.845295;12.902265
-0.31;-1.1;0;1.651502;1.5779537;-21.080208;-19.549656;13.911744;12.964352
-0.3;-1.1;0;1.7427138;1.6630969;-21.165812;-19.629539;13.978192;13.026438
-0.29;-1.1;0;1.833926;1.7482405;-21.251415;-19.709419;14.04464;13.088523
-0.28;-1.1;0;1.9251379;1.8333837;-21.337019;-19.789301;14.111089;13.15061
-0.27;-1.1;0;2.0163498;1.9185272;-21.422623;-19.869183;14.177537;13.212696
-0.26;-1.1;0;2.1075613;2.0036702;-21.508226;-19.949064;14.243985;13.274782
-0.25;-1.1;0;2.1987734;2.0888135;-21.59383;-20.028946;14.310434;13.336869
-0.24;-1.1;0;2.2899859;2.1739573;-21.679434;-20.108829;14.376883;13.398954
-0.23;-1.1;0;2.3811979;2.2591007;-21.765038;-20.188711;14.44333;13.461041
-0.22;-1.1;0;2.4724102;2.3442442;-21.850643;-20.268591;14.509779;13.523128
-0.21;-1.1;0;2.563622;2.4293876;-21.936247;-20.348475;14.576227;13.585213
-0.2;-1.1;0;2.6548338;2.5145309;-22.021849;-20.428356;14.642675;13.6473
-0.19;-1.1;0;2.7460456;2.599674;-22.107452;-20.508238;14.709124;13.709385
-0.18;-1.1;0;2.8372574;2.6848171;-22.193056;-20.58812;14.775572;13.771471
-0.17;-1.1;0;2.9284699;2.7699611;-22.278662;-20.668003;14.84202;13.833559
-0.16;-1.1;0;3.0196819;2.8551044;-22.364264;-20.747883;14.908469;13.895644
-0.15;-1.1;0;3.1108937;2.940248;-22.449867;-20.827766;14.974917;13.957731
-0.14;-1.1;0;3.2021058;3.0253911;-22.535471;-20.907646;15.041365;14.019816
-0.13;-1.1;0;3.2933178;3.1105347;-22.621077;-20.98753;15.107814;14.081903
-0.12;-1.1;0;3.3845298;3.1956778;-22.70668;-21.067411;15.174263;14.143991
-0.11;-1.1;0;3.4757414;3.2808208;-22.792284;-21.147291;15.240711;14.206076
-0.1;-1.1;0;3.5669541;3.3659649;-22.877888;-21.227175;15.307159;14.268162
-0.09;-1.1;0;3.6581664;3.4511082;-22.963491;-21.307056;15.373608;14.330248
-0.08;-1.1;0;3.749378;3.5362515;-23.049095;-21.386938;15.440056;14.392334
-0.07;-1.1;0;3.8405902;3.6213949;-23.134699;-21.466822;15.506504;14.45442
-0.06;-1.1;0;3.9318016;3.706538;-23.220301;-21.546701;15.572952;14.516506
-0.05;-1.1;0;4.0230141;3.7916815;-23.305904;-21.626583;15.6394;14.578592
-0.04;-1.1;0;4.1142254;3.8768249;-23.39151;-21.706467;15.70585;14.64068
-0.03;-1.1;0;4.2054381;3.9619687;-23.477116;-21.786348;15.772298;14.702765
-0.02;-1.1;0;4.2966499;4.047112;-23.562717;-21.86623;15.838746;14.764852
-0.01;-1.1;0;4.3878617;4.1322551;-23.648321;-21.946112;15.905194;14.826938
0;-1.1;0;4.479074;4.2173986;-23.733925;-22.025993;15.971642;14.889024
0.01;-1.1;0;4.565341;4.2979331;-23.611906;-21.911795;15.876253;14.800141
0.02;-1.1;0;4.6516089;4.378468;-23.489887;-21.797592;15.780864;14.711261
0.03;-1.1;0;4.7378759;4.4590025;-23.367872;-21.683393;15.685474;14.622378
0.04;-1.1;0;4.8241439;4.5395374;-23.245852;-21.569193;15.590084;14.533496
0.05;-1.1;0;4.9104114;4.6200719;-23.123835;-21.454992;15.494695;14.444614
0.06;-1.1;0;4.9966784;4.7006063;-23.001816;-21.340794;15.399305;14.355732
0.07;-1.1;0;5.0829463;4.7811408;-22.879799;-21.226593;15.303916;14.26685
0.08;-1.1;0;5.1692133;4.8616753;-22.75778;-21.112392;15.208527;14.177969
0.09;-1.1;0;5.2554808;4.9422097;-22.635763;-20.998194;15.113137;14.089087
0.1;-1.1;0;5.3417482;5.0227447;-22.513744;-20.883993;15.017748;14.000205
0.11;-1.1;0;5.4280157;5.1032796;-22.391726;-20.769793;14.922359;13.911323
0.12;-1.1;0;5.5142832;5.183814;-22.269709;-20.655592;14.826968;13.822441
0.13;-1.1;0;5.6005507;5.2643485;-22.14769;-20.541393;14.731579;13.733559
0.14;-1.1;0;5.6868176;5.344883;-22.025671;-20.427193;14.636189;13.644677
0.15;-1.1;0;5.7730851;5.4254179;-21.903652;-20.312992;14.5408;13.555796
0.16;-1.1;0;5.8593526;5.5059519;-21.781635;-20.198792;14.445411;13.466913
0.17;-1.1;0;5.9456196;5.5864868;-21.659618;-20.084593;14.35002;13.378033
0.18;-1.1;0;6.031888;5.6670218;-21.537598;-19.970392;14.254631;13.289149
0.19;-1.1;0;6.1181555;5.7475562;-21.415581;-19.856194;14.159242;13.200267
0.2;-1.1;0;6.2044225;5.8280907;-21.293562;-19.741991;14.063852;13.111386
0.21;-1.1;0;6.2906899;5.9086256;-21.171545;-19.627792;13.968463;13.022504
0.22;-1.1;0;6.3769574;5.9891596;-21.049526;-19.513592;13.873074;12.933622
0.23;-1.1;0;6.4632244;6.0696945;-20.927509;-19.399393;13.777683;12.844741
0.24;-1.1;0;6.5494919;6.150229;-20.80549;-19.285192;13.682295;12.755858
0.25;-1.1;0;6.6357598;6.2307644;-20.683472;-19.17099;13.586905;12.666977
0.26;-1.1;0;6.7220268;6.3112984;-20.561455;-19.056791;13.491515;12.578094
0.27;-1.1;0;6.8082943;6.3918333;-20.439436;-18.942593;13.396126;12.489213
0.28;-1.1;0;6.8945618;6.4723673;-20.317417;-18.828392;13.300736;12.400331
0.29;-1.1;0;6.9808292;6.5529022;-20.195398;-18.714191;13.205346;12.311449
0.3;-1.1;0;7.0670967;6.6334362;-20.073381;-18.599993;13.109958;12.222568
0.31;-1.1;0;7.1533642;6.7139711;-19.951365;-18.485792;13.014568;12.133685
0.32;-1.1;0;7.2396317;6.7945061;-19.829346;-18.371592;12.919178;12.044804
0.33;-1.1;0;7.3258991;6.875041;-19.707327;-18.257391;12.823789;11.955921
0.34;-1.1;0;7.4121666;6.955575;-19.585308;-18.143192;12.728399;11.867039
0.35;-1.1;0;7.4984336;7.0361099;-19.463291;-18.028992;12.633009;11.778158
0.36;-1.1;0;7.5847015;7.1166444;-19.341272;-17.914791;12.53762;11.689276
0.37;-1.1;0;7.6709685;7.1971788;-19.219255;-17.800591;12.442231;11.600393
0.38;-1.1;0;7.7572355;7.2777138;-19.097237;-17.68639;12.346841;11.511513
0.39;-1.1;0;7.843503;7.3582478;-18.97522;-17.572191;12.251451;11.42263
0.4;-1.1;0;7.9297709;7.4387827;-18.853201;-17.457991;12.156062;11.333748
0.41;-1.1;0;8.0160389;7.5193176;-18.731182;-17.343792;12.060673;11.244866
0.42;-1.1;0;8.1023054;7.5998521;-18.609163;-17.229591;11.965282;11.155984
0.43;-1.1;0;8.1885729;7.6803865;-18.487146;-17.115391;11.869894;11.067102
0.44;-1.1;0;8.2748404;7.760921;-18.365128;-17.00119;11.774504;10.978221
0.45;-1.1;0;8.3611078;7.8414555;-18.243111;-16.886992;11.679114;10.889339
0.46;-1.1;0;8.4473753;7.9219904;-18.121092;-16.772791;11.583726;10.800457
0.47;-1.1;0;8.5336428;8.0025253;-17.999073;-16.658592;11.488337;10.711576
0.48;-1.1;0;8.6199102;8.0830593;-17.877056;-16.544392;11.392946;10.622694
0.49;-1.1;0;8.7061777;8.1635942;-17.755037;-16.430191;11.297557;10.533812
0.5;-1.1;0;8.7924452;8.2441292;-17.633018;-16.31599;11.202168;10.44493
0.51;-1.1;0;8.8787117;8.3246632;-17.511002;-16.20179;11.106777;10.356048
0.52;-1.1;0;8.9649792;8.4051981;-17.388983;-16.087591;11.011389;10.267166
0.53;-1.1;0;9.0512466;8.485733;-17.266966;-15.973391;10.915998;10.178284
0.54;-1.1;0;9.1375151;8.566267;-17.144947;-15.85919;10.820608;10.089401
0.55;-1.1;0;9.2237825;8.6468019;-17.022928;-15.744989;10.72522;10.00052
0.56;-1.1;0;9.3100491;8.7273369;-16.900909;-15.63079;10.629829;9.9116383
0.57;-1.1;0;9.3963175;8.8078709;-16.778893;-15.51659;10.53444;9.8227558
0.58;-1.1;0;9.482584;8.8884058;-16.656874;-15.40239;10.439051;9.7338743
0.59;-1.1;0;9.5688515;8.9689398;-16.534855;-15.288191;10.343662;9.6449928
0.6;-1.1;0;9.6551189;9.0494747;-16.412838;-15.17399;10.248272;9.5561104
0.61;-1.1;0;9.7413864;9.1300097;-16.290819;-15.05979;10.152882;9.4672279
0.62;-1.1;0;9.8276539;9.2105446;-16.1688;-14.945589;10.057492;9.3783464
0.63;-1.1;0;9.9139214;9.2910786;-16.046783;-14.831388;9.9621029;9.289465
0.64;-1.1;0;10.000189;9.3716135;-15.924766;-14.71719;9.8667145;9.2005825
0.65;-1.1;0;10.086456;9.4521475;-15.802748;-14.602989;9.7713242;9.111701
0.66;-1.1;0;10.172725;9.5326834;-15.680729;-14.488789;9.6759338;9.0228186
0.67;-1.1;0;10.258991;9.6132174;-15.55871;-14.374589;9.5805454;8.9339371
0.68;-1.1;0;10.345259;9.6937513;-15.436693;-14.260389;9.4851551;8.8450546
0.69;-1.1;0;10.431526;9.7742863;-15.314674;-14.146189;9.3897667;8.7561731
0.7;-1.1;0;10.517794;9.8548212;-15.192656;-14.03199;9.2943764;8.6672916
0.71;-1.1;0;10.604061;9.9353552;-15.070639;-13.917789;9.198987;8.5784092
0.72;-1.1;0;10.690329;10.01589;-14.94862;-13.803589;9.1035976;8.4895267
0.73;-1.1;0;10.776595;10.096424;-14.826602;-13.689388;9.0082073;8.4006453
0.74;-1.1;0;10.862863;10.176959;-14.704584;-13.575188;8.9128189;8.3117638
0.75;-1.1;0;10.94913;10.257494;-14.582565;-13.460989;8.8174295;8.2228823
0.76;-1.1;0;11.035398;10.338028;-14.460548;-13.346788;8.7220392;8.1339998
0.77;-1.1;0;11.121665;10.418563;-14.33853;-13.232589;8.6266499;8.0451183
0.78;-1.1;0;11.207932;10.499098;-14.216512;-13.118389;8.5312605;7.9562368
0.79;-1.1;0;11.294201;10.579633;-14.094494;-13.004189;8.4358711;7.8673544
0.8;-1.1;0;11.380468;10.660168;-13.972476;-12.889988;8.3404818;7.7784729
0.81;-1.1;0;11.466736;10.740702;-13.850458;-12.775789;8.2450924;7.6895909
0.82;-1.1;0;11.553002;10.821236;-13.728439;-12.661589;8.1497021;7.600709
0.83;-1.1;0;11.639269;10.901771;-13.606421;-12.547388;8.0543137;7.511827
0.84;-1.1;0;11.725536;10.982305;-13.484404;-12.433188;7.9589233;7.422945
0.85;-1.1;0;11.811806;11.06284;-13.362385;-12.318989;7.863534;7.3340635
0.86;-1.1;0;11.898072;11.143373;-13.240368;-12.204788;7.7681446;7.2451811
0.87;-1.1;0;11.98434;11.223908;-13.118349;-12.090589;7.6727552;7.1562996
0.88;-1.1;0;12.070607;11.304443;-12.99633;-11.976387;7.5773654;7.0674176
0.89;-1.1;0;12.156874;11.384977;-12.874313;-11.862188;7.4819765;6.9785357
0.9;-1.1;0;12.243141;11.465512;-12.752295;-11.747988;7.3865862;6.8896542
0.91;-1.1;0;12.329409;11.546047;-12.630276;-11.633787;7.2911968;6.8007717
0.92;-1.1;0;12.415677;11.626582;-12.508258;-11.519588;7.1958075;6.7118902
0.93;-1.1;0;12.501945;11.707117;-12.38624;-11.405388;7.1004181;6.6230078
0.94;-1.1;0;12.588211;11.787651;-12.264222;-11.291188;7.0050287;6.5341263
0.95;-1.1;0;12.674479;11.868186;-12.142204;-11.176987;6.9096389;6.4452438
0.96;-1.1;0;12.760746;11.948721;-12.020185;-11.062788;6.81425;6.3563623
0.97;-1.1;0;12.847014;12.029255;-11.898167;-10.948587;6.7188592;6.2674799
0.98;-1.1;0;12.933282;12.10979;-11.776149;-10.834387;6.6234703;6.1785984
0.99;-1.1;0;13.019548;12.190324;-11.654131;-10.720187;6.5280809;6.0897164
1;-1.1;0;13.105816;12.270859;-11.532113;-10.605987;6.4326911;6.0008349
1.01;-1.1;0;13.192084;12.351394;-11.410095;-10.491788;6.3373017;5.9119534
1.02;-1.1;0;13.278351;12.431928;-11.288077;-10.377587;6.2419128;5.823071
1.03;-1.1;0;13.364618;12.512463;-11.166059;-10.263388;6.1465235;5.7341895
1.04;-1.1;0;13.450885;12.592998;-11.044041;-10.149187;6.0511336;5.6453075
1.05;-1.1;0;13.537152;12.673532;-10.922023;-10.034987;5.9557438;5.556426
1.06;-1.1;0;13.623421;12.754066;-10.800005;-9.9207878;5.8603549;5.4675436
1.07;-1.1;0;13.709688;12.834601;-10.677986;-9.8065863;5.7649641;5.3786612
1.08;-1.1;0;13.795957;12.915136;-10.555967;-9.6923866;5.6695752;5.2897797
1.09;-1.1;0;13.882223;12.99567;-10.43395;-9.578187;5.5741854;5.2008972
1.1;-1.1;0;13.968491;13.076205;-10.311932;-9.4639864;5.478796;5.1120157
-1.1;-1.09;0;-5.6304479;-5.2191882;-14.17836;-13.10795;8.8425865;8.2280788
-1.09;-1.09;0;-5.5392361;-5.1340446;-14.263965;-13.187833;8.9090347;8.2901659
-1.08;-1.09;0;-5.4480243;-5.048902;-14.349567;-13.267715;8.9754829;8.352252
-1.07;-1.09;0;-5.356812;-4.9637585;-14.435171;-13.347595;9.0419312;8.4143372
-1.06;-1.09;0;-5.2655993;-4.8786139;-14.520776;-13.427479;9.1083813;8.4764242
-1.05;-1.09;0;-5.174387;-4.7934709;-14.60638;-13.50736;9.1748285;8.5385103
-1.04;-1.09;0;-5.0831757;-4.7083273;-14.691984;-13.587242;9.2412777;8.6005964
-1.03;-1.09;0;-4.9919634;-4.6231842;-14.777587;-13.667124;9.3077259;8.6626825
-1.02;-1.09;0;-4.9007516;-4.5380406;-14.863191;-13.747005;9.3741741;8.7247696
-1.01;-1.09;0;-4.8095393;-4.4528975;-14.948794;-13.826887;9.4406223;8.7868557
-1;-1.09;0;-4.718328;-4.367754;-15.034398;-13.906769;9.5070705;8.8489418
-0.99;-1.09;0;-4.6271157;-4.2826109;-15.120001;-13.986651;9.5735188;8.9110279
-0.98;-1.09;0;-4.5359035;-4.1974678;-15.205606;-14.066533;9.639967;8.973114
-0.97;-1.09;0;-4.4446921;-4.1123242;-15.291209;-14.146414;9.7064152;9.0352001
-0.96;-1.09;0;-4.3534794;-4.0271807;-15.376814;-14.226297;9.7728643;9.0972862
-0.95;-1.09;0;-4.2622671;-3.9420373;-15.462418;-14.306179;9.8393126;9.1593723
-0.94;-1.09;0;-4.1710558;-3.8568938;-15.54802;-14.38606;9.9057608;9.2214584
-0.93;-1.09;0;-4.0798435;-3.7717509;-15.633625;-14.465942;9.972209;9.2835445
-0.92;-1.09;0;-3.9886317;-3.6866076;-15.719229;-14.545824;10.038657;9.3456316
-0.91;-1.09;0;-3.8974202;-3.601464;-15.804832;-14.625706;10.105105;9.4077168
-0.9;-1.09;0;-3.8062077;-3.5163205;-15.890436;-14.705587;10.171555;9.4698048
-0.89;-1.09;0;-3.7149956;-3.4311771;-15.97604;-14.785469;10.238003;9.5318909
-0.88;-1.09;0;-3.6237841;-3.3460336;-16.061644;-14.865352;10.304451;9.593977
-0.87;-1.09;0;-3.532572;-3.2608902;-16.147247;-14.945233;10.370899;9.6560631
-0.86;-1.09;0;-3.44136;-3.1757472;-16.232851;-15.025114;10.437347;9.7181492
-0.85;-1.09;0;-3.3501484;-3.0906038;-16.318453;-15.104998;10.503796;9.7802353
-0.84;-1.09;0;-3.258935;-3.0054593;-16.40406;-15.184879;10.570244;9.8423204
-0.83;-1.09;0;-3.1677232;-2.9203162;-16.489664;-15.264761;10.636692;9.9044065
-0.82;-1.09;0;-3.0765109;-2.8351729;-16.575268;-15.344644;10.70314;9.9664927
-0.81;-1.09;0;-2.9852996;-2.7500296;-16.660872;-15.424525;10.769589;10.028579
-0.8;-1.09;0;-2.8940873;-2.6648862;-16.746473;-15.504406;10.836038;10.090665
-0.79;-1.09;0;-2.8028755;-2.5797429;-16.832079;-15.58429;10.902486;10.152751
-0.78;-1.09;0;-2.711663;-2.4945991;-16.917683;-15.664171;10.968934;10.214838
-0.77;-1.09;0;-2.620451;-2.4094558;-17.003286;-15.744053;11.035382;10.276924
-0.76;-1.09;0;-2.5292392;-2.3243127;-17.08889;-15.823935;11.10183;10.33901
-0.75;-1.09;0;-2.4380269;-2.2391691;-17.174494;-15.903816;11.168279;10.401096
-0.74;-1.09;0;-2.3468151;-2.154026;-17.260096;-15.983698;11.234727;10.463182
-0.73;-1.09;0;-2.2556033;-2.0688825;-17.345701;-16.06358;11.301175;10.525269
-0.72;-1.09;0;-2.1643915;-1.9837393;-17.431303;-16.143461;11.367623;10.587355
-0.71;-1.09;0;-2.0731792;-1.8985959;-17.516909;-16.223343;11.434072;10.649442
-0.7;-1.09;0;-1.9819676;-1.8134528;-17.60251;-16.303225;11.500521;10.711529
-0.69;-1.09;0;-1.8907555;-1.7283094;-17.688116;-16.383108;11.566969;10.773615
-0.68;-1.09;0;-1.7995437;-1.6431662;-17.77372;-16.462988;11.633417;10.835701
-0.67;-1.09;0;-1.7083319;-1.5580227;-17.859324;-16.542871;11.699865;10.897786
-0.66;-1.09;0;-1.6171198;-1.4728795;-17.944925;-16.622753;11.766314;10.959873
-0.65;-1.09;0;-1.5259073;-1.3877356;-18.030531;-16.702635;11.832764;11.021959
-0.64;-1.09;0;-1.4346955;-1.3025922;-18.116135;-16.782516;11.899212;11.084045
-0.63;-1.09;0;-1.3434834;-1.2174491;-18.201738;-16.862398;11.96566;11.146132
-0.62;-1.09;0;-1.2522717;-1.1323056;-18.287342;-16.94228;12.032108;11.208218
-0.61;-1.09;0;-1.1610597;-1.0471624;-18.372946;-17.022161;12.098557;11.270304
-0.6;-1.09;0;-1.0698478;-0.96201891;-18.458549;-17.102045;12.165005;11.33239
-0.59;-1.09;0;-0.97863507;-0.87687522;-18.544153;-17.181927;12.231453;11.394476
-0.58;-1.09;0;-0.88742328;-0.79173177;-18.629757;-17.261808;12.297901;11.456562
-0.57;-1.09;0;-0.79621124;-0.70658869;-18.715361;-17.341688;12.364349;11.518649
-0.56;-1.09;0;-0.70499945;-0.62144512;-18.800964;-17.421572;12.430798;11.580735
-0.55;-1.09;0;-0.61378765;-0.53630179;-18.886568;-17.501453;12.497246;11.642821
-0.54;-1.09;0;-0.52257562;-0.4511587;-18.972172;-17.581335;12.563694;11.704907
-0.53;-1.09;0;-0.43136311;-0.36601466;-19.057775;-17.661217;12.630144;11.766994
-0.52;-1.09;0;-0.34015131;-0.28087157;-19.143379;-17.741098;12.696592;11.829081
-0.51;-1.09;0;-0.24893926;-0.195728;-19.228983;-17.820982;12.763041;11.891167
-0.5;-1.09;0;-0.15772723;-0.11058492;-19.314589;-17.900862;12.829489;11.953253
-0.49;-1.09;0;-0.066515431;-0.025441356;-19.40019;-17.980745;12.895937;12.015339
-0.48;-1.09;0;0.024696425;0.059701584;-19.485794;-18.060625;12.962385;12.077426
-0.47;-1.09;0;0.11590822;0.14484468;-19.571398;-18.140509;13.028833;12.139511
-0.46;-1.09;0;0.20712002;0.22998825;-19.657001;-18.220388;13.095282;12.201598
-0.45;-1.09;0;0.29833293;0.3151322;-19.742605;-18.300272;13.16173;12.263684
-0.44;-1.09;0;0.38954473;0.40027577;-19.828211;-18.380154;13.228178;12.325769
-0.43;-1.09;0;0.48075652;0.48541886;-19.913815;-18.460035;13.294626;12.387856
-0.42;-1.09;0;0.57196856;0.57056206;-19.999418;-18.539917;13.361074;12.449942
-0.41;-1.09;0;0.66318059;0.65570551;-20.085022;-18.619799;13.427523;12.512028
-0.4;-1.09;0;0.7543925;0.74084872;-20.170626;-18.69968;13.493973;12.574115
-0.39;-1.09;0;0.84560531;0.825993;-20.256229;-18.779564;13.56042;12.6362
-0.38;-1.09;0;0.93681723;0.91113621;-20.341833;-18.859446;13.626868;12.698287
-0.37;-1.09;0;1.0280291;0.99627966;-20.427437;-18.939327;13.693316;12.760372
-0.36;-1.09;0;1.119241;1.0814229;-20.513041;-19.019209;13.759765;12.822459
-0.35;-1.09;0;1.2104527;1.1665658;-20.598644;-19.099091;13.826214;12.884546
-0.34;-1.09;0;1.3016645;1.2517092;-20.684248;-19.178972;13.892662;12.946631
